visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
911817820_50171375937_819271,6451141,Test,start,confirm,1,703.0,11.72,0.125,68,F,21,2,87570.01999999999
911825226_44132315586_51836,9658480,Test,start,confirm,1,188.0,3.13,0.0,36,M,15,2,85777.17
911827417_81404970240_79739,8203556,Test,start,start,0,0.0,0.0,0.0,78,M,27,2,108547.64
911838075_49850386723_13640,5263915,Test,start,start,0,0.0,0.0,0.0,68,M,33,2,33663.85
911847334_39834644526_974780,417113,Test,start,start,0,151.0,2.52,0.5,27,F,22,2,28643.69
911849762_73833505370_488547,6110745,Control,start,confirm,1,251.0,4.18,0.0,62,F,8,2,50541.63
911953236_65644460269_304836,1125696,Test,start,confirm,1,264.0,4.4,0.16666666666666666,40,F,9,2,31761.1
911979242_23722374472_785282,5077812,Control,start,start,0,0.0,0.0,0.0,62,M,12,2,151902.05
912041950_13734894877_13234,4179527,Test,start,confirm,1,274.0,4.57,0.16666666666666666,24,M,5,2,29642.28
9120427_8366901946_219889,3939804,Control,start,start,0,0.0,0.0,0.0,26,F,6,3,79710.31
